zone_id,start_time,weekday,hour,hours_worked,earnings,distance_km,trips_completed,active_drivers,active_hour_wage,revenue_per_trip,fare_per_km,earnings_per_driver,log_hours,log_trips,log_active_drivers,log_active_hour_wage,log_revenue_per_trip,log_fare_per_km,log_earnings_per_driver,wage,log_wage
Bayview Hunters Point,2024-05-01 00:00:00,2,0,1.2334797222222222,65.6,19.600853200000003,5,2,53.182876717110375,13.12,3.3467930875580447,32.8,0.20983921763222366,1.6094379124341003,0.6931471805599453,3.9737364783178197,2.574137783515943,1.2080026000487563,3.490428515390098,3.3467930875580447,1.2080026000487563
Bayview Hunters Point,2024-05-01 03:00:00,2,3,1.6788747222222222,125.39999999999999,37.819540800000006,5,3,74.69288705116472,25.08,3.3157462345497324,41.8,0.5181237607923777,1.6094379124341003,1.0986122886681098,4.313384867406443,3.22207071576472,1.1986827067661756,3.7328963395307104,3.3157462345497324,1.1986827067661756
Bayview Hunters Point,2024-05-01 08:00:00,2,8,2.61366,181.6,47.6159308,8,5,69.48111077951991,22.7,3.8138496286625148,36.32,0.9607515378823577,2.0794415416798357,1.6094379124341003,4.241054928284835,3.122364924487357,1.338639080250633,3.5923685537330927,3.8138496286625148,1.338639080250633
Bayview Hunters Point,2024-05-01 09:00:00,2,9,1.5850958333333334,124.04,34.4399496,6,4,78.25394363642577,20.673333333333336,3.601631286940095,31.01,0.46064486817232314,1.791759469228055,1.3862943611198906,4.359959226059925,3.028844625004193,1.2813868780884232,3.4343097331123578,3.601631286940095,1.2813868780884232
Bayview Hunters Point,2024-05-01 10:00:00,2,10,1.3347858333333333,104.72,26.7611116,5,4,78.4545335924677,20.944,3.913140887615446,26.18,0.28877085451341805,1.6094379124341003,1.3862943611198906,4.362519267088226,3.041852209167544,1.3643403475930023,3.264995760481754,3.913140887615446,1.3643403475930023
Bayview Hunters Point,2024-05-01 11:00:00,2,11,2.028596388888889,185.45999999999998,81.0568256,8,5,91.4228187607003,23.182499999999997,2.288024464654091,37.092,0.7073441198580501,2.0794415416798357,1.6094379124341003,4.51549510551403,3.143397683692244,0.8276887660539572,3.6134013129379796,2.288024464654091,0.8276887660539572
Bayview Hunters Point,2024-05-01 12:00:00,2,12,2.3225227777777775,184.15,53.913004,10,4,79.28878104532404,18.415,3.415687985036041,46.0375,0.8426539990970653,2.302585092994046,1.3862943611198906,4.373096643794009,2.9131655498970286,1.228378932479474,3.8294562817711837,3.415687985036041,1.228378932479474
Bayview Hunters Point,2024-05-01 13:00:00,2,13,3.859144722222222,222.75,63.730012,11,7,57.72004317882467,20.25,3.495213526713285,31.821428571428573,1.350445584371643,2.3978952727983707,1.9459101490553132,4.055604481979276,3.0081547935525483,1.2513944687303666,3.4601399172956055,3.495213526713285,1.2513944687303666
Bayview Hunters Point,2024-05-01 14:00:00,2,14,2.559203888888889,176.15,40.8119928,9,5,68.82999856509197,19.572222222222223,4.316133271492688,35.230000000000004,0.9396962292241051,2.1972245773362196,1.6094379124341003,4.231639675563142,2.9741113274510274,1.462359925392904,3.5618979923531464,4.316133271492688,1.462359925392904
Bayview Hunters Point,2024-05-01 15:00:00,2,15,2.320598888888889,183.2,61.3908552,7,5,78.94513820426623,26.17142857142857,2.98415780987524,36.64,0.8418252941278188,1.9459101490553132,1.6094379124341003,4.368753158112211,3.2646683031847163,1.093317566290064,3.6011405398059297,2.98415780987524,1.093317566290064
Bayview Hunters Point,2024-05-01 16:00:00,2,16,3.359428888888889,232.45,65.8222104,13,6,69.19330865100747,17.88076923076923,3.5314827409685408,38.74166666666667,1.2117709859829993,2.5649493574615367,1.791759469228055,4.2369041621535946,2.883725790675057,1.2617178226875583,3.656915678908539,3.5314827409685408,1.2617178226875583
Bayview Hunters Point,2024-05-01 17:00:00,2,17,0.9354583333333333,69.95,15.771596000000002,5,4,74.77617923477797,13.99,4.435188423543185,17.4875,-0.06671867372186739,1.6094379124341003,1.3862943611198906,4.314499374833358,2.63834278867739,1.4895701004381283,2.8614863399915995,4.435188423543185,1.4895701004381283
Bayview Hunters Point,2024-05-02 00:00:00,3,0,1.2253811111111113,85.42,26.4380377,5,3,69.70892502377944,17.084,3.2309508356590326,28.473333333333333,0.20325190672277496,1.6094379124341003,1.0986122886681098,4.244328358690545,2.83814235297922,1.17277647027937,3.3489679767452105,3.2309508356590326,1.17277647027937
Bayview Hunters Point,2024-05-02 04:00:00,3,4,1.3000008333333333,79.28,25.991139599999997,5,2,60.984576291938275,15.856,3.050270254406237,39.64,0.26236490549292657,1.6094379124341003,0.6931471805599453,4.110620984528806,2.763547977587632,1.115230194695908,3.6798387094617873,3.050270254406237,1.115230194695908
